degree,specialization,academic_score,marks_10th,marks_12th,skills,experience_years,role
BBA,Business Administration,9.29,71.0,73.6,"Product Strategy, Roadmapping, Market Research, Jira, Stakeholder Management, Agile, Scrum",5,Product Manager
Diploma,Information Technology,9.17,80.5,89.7,"Design Systems, Prototyping, Wireframing, Adobe XD, UI/UX",0,UX Designer
BCA,Design,6.76,65.7,70.0,"HTML, Next.js, CSS",2,Frontend Developer
MBA,Communications,8.3,96.8,88.7,"Google Analytics, Digital Marketing, Social Media, SEO",14,Marketing Specialist
BBA,Business Administration,8.25,92.4,73.0,"Roadmapping, Scrum, Product Strategy, Market Research, Agile, Stakeholder Management, Jira",11,Product Manager
M.Tech,Electronics,7.32,79.1,77.2,"Jenkins, Linux, AWS",11,DevOps Engineer
B.Tech,Information Technology,7.65,89.2,96.9,"CSS, TypeScript, JavaScript, Angular, React, Next.js",4,Frontend Developer
MBA,Finance,7.06,79.9,89.8,"Advanced Excel, Finance, GST, Tally, Accounting, Auditing",10,Accountant
MBA,Finance,7.85,76.7,73.5,"SQL, Power BI, Tableau",15,Business Analyst
MBA,Finance,7.86,90.0,87.8,"Accounting, Finance, Tally, Auditing, GST, Advanced Excel",12,Accountant
B.Com,Marketing,8.63,75.1,84.2,"Digital Marketing, Content Strategy, Google Analytics",7,Marketing Specialist
BA,Business Administration,7.17,72.6,88.8,"Communication, Onboarding, Employee Relations, Talent Acquisition, Recruiting",5,HR Manager
BCA,Computer Science,9.16,74.8,76.9,"Git, Algorithms, Go, Java",4,Software Engineer
PhD,Data Science,9.59,86.0,89.8,"Python, NLP, TensorFlow, Pandas, Scikit-Learn",1,Data Scientist
PhD,Artificial Intelligence,9.58,80.8,92.1,"Statistics, NLP, Scikit-Learn, Data Analysis, Python, NumPy",6,Data Scientist
MBA,Communications,9.78,68.9,90.2,"Copywriting, SEO, Content Strategy, Social Media, Google Analytics, Digital Marketing",10,Marketing Specialist
B.Com,Finance,9.6,71.9,72.0,"Advanced Excel, GST, Auditing, Tally, Accounting, Finance",10,Accountant
BCA,Computer Science,7.55,87.7,80.5,"Go, C++, C#, Java",0,Software Engineer
B.Tech,CS,8.99,85.6,86.8,"Adobe XD, Prototyping, Figma, UI/UX, Design Systems",3,UX Designer
B.Tech,Computer Science,7.67,80.5,75.0,"Java, MongoDB, FastAPI, Node.js, Python, Docker, PostgreSQL, Django",6,Backend Developer
M.Tech,Electronics,8.29,65.9,72.6,"CI/CD, AWS, Linux, Terraform, Docker, Kubernetes",14,DevOps Engineer
MBA,Accounting,9.48,71.0,84.3,"GST, Finance, Accounting, Advanced Excel, Tally, Auditing",14,Accountant
MBA,Economics,9.26,75.9,87.9,"Google Analytics, Digital Marketing, Social Media, Copywriting, SEO",11,Marketing Specialist
B.Tech,Information Technology,6.44,90.5,93.5,"REST APIs, MongoDB, FastAPI",0,Backend Developer
B.Tech,Finance,8.89,71.7,83.1,"Data Visualization, Tableau, Power BI, SQL, Market Research, Process Improvement",4,Business Analyst
B.Com,Marketing,8.7,75.3,65.5,"Copywriting, Social Media, Content Strategy",6,Marketing Specialist
BCA,Computer Science,8.68,78.7,80.9,"C++, C#, Git, Data Structures, Go, Algorithms",7,Software Engineer
Diploma,CS,9.28,74.1,91.1,"Prototyping, UI/UX, User Testing, Adobe XD",6,UX Designer
B.Sc,Computer Science,8.05,76.4,83.2,"Vue, Tailwind, TypeScript, CSS, React",8,Frontend Developer
BCA,Information Technology,9.25,78.6,75.5,"SQL, Django, GraphQL, FastAPI",7,Backend Developer
BCA,Computer Science,9.32,79.5,82.4,"Python, Java, PostgreSQL, REST APIs, GraphQL, FastAPI",7,Backend Developer
M.Tech,Artificial Intelligence,9.24,93.1,93.4,"Data Analysis, Machine Learning, Statistics, Pandas, NLP, TensorFlow, SQL, Python",6,Data Scientist
B.Tech,Finance,8.84,79.3,68.2,"Data Visualization, Market Research, Process Improvement, SQL, Tableau, Power BI",10,Business Analyst
M.Tech,Computer Science,7.64,73.1,78.6,"Algorithms, Java, Go, C#, Git, System Design, Rust, C++",13,Software Engineer
MBA,Business Administration,8.6,81.4,84.2,"Product Strategy, Market Research, Stakeholder Management",8,Product Manager
MBA,Finance,6.28,96.2,97.6,"Process Improvement, Data Visualization, SQL, Tableau, Market Research",11,Business Analyst
M.Tech,Information Technology,7.45,76.8,74.8,"SQL, GraphQL, Docker, Node.js, PostgreSQL",5,Backend Developer
M.Sc,Artificial Intelligence,9.16,94.8,90.6,"NumPy, Python, Statistics",3,Data Scientist
M.Com,Accounting,9.43,86.3,75.2,"Tally, Finance, GST, Advanced Excel, Accounting, Auditing",7,Accountant
PhD,Artificial Intelligence,6.5,82.8,97.1,"Data Analysis, Machine Learning, Pandas, Scikit-Learn, Statistics, SQL, NumPy, TensorFlow",8,Data Scientist
BBA,Human Resources,7.78,67.5,89.9,"Talent Acquisition, Onboarding, Communication, Employee Relations, Recruiting",3,HR Manager
B.Tech,Information Technology,8.04,80.0,87.2,"Market Research, Power BI, Data Visualization, Tableau, SQL, Process Improvement",10,Business Analyst
M.Tech,Information Technology,8.46,86.0,80.3,"Kubernetes, AWS, Docker, CI/CD, Terraform, Linux, Jenkins",5,DevOps Engineer
MBA,Business Administration,6.44,72.7,82.7,"Data Visualization, Process Improvement, Power BI, Tableau",8,Business Analyst
Diploma,Design,8.62,72.2,79.7,"JavaScript, TypeScript, Angular, HTML, React, Vue, CSS, Tailwind",3,Frontend Developer
B.Tech,Design,6.72,69.0,93.0,"Next.js, Angular, HTML, React, JavaScript",7,Frontend Developer
BCA,AI,6.78,92.4,83.3,"Rust, Java, Go, System Design, C#, C++, Algorithms, Data Structures",9,Software Engineer
BA,Information Technology,9.26,69.8,69.3,"Design Systems, User Testing, Figma, Wireframing",4,UX Designer
MBA,Finance,9.0,72.9,75.7,"Agile, Roadmapping, Scrum",5,Product Manager
M.Tech,Computer Science,7.95,68.6,81.6,"TensorFlow, Machine Learning, NumPy, Statistics, SQL, Data Analysis",1,Data Scientist
B.Tech,Finance,8.61,81.2,95.0,"Process Improvement, Data Visualization, Market Research, Tableau, Power BI, SQL",1,Business Analyst
MCA,AI,8.41,83.1,75.7,"C++, C#, Algorithms, Git",9,Software Engineer
MCA,Electronics,7.57,92.3,78.2,"CI/CD, AWS, Terraform, Docker, Jenkins, Kubernetes, Linux",2,DevOps Engineer
Diploma,Information Technology,6.35,68.2,89.4,"Vue, Angular, CSS, Tailwind, React, HTML, Next.js, JavaScript",12,Frontend Developer
B.Tech,Business Administration,9.3,88.8,97.0,"Product Strategy, Stakeholder Management, Scrum, Roadmapping, Agile, Jira, Market Research",9,Product Manager
MCA,Computer Science,9.21,77.1,90.2,"Linux, Docker, Terraform, CI/CD, AWS, Kubernetes, Jenkins",4,DevOps Engineer
B.Tech,Information Technology,9.5,76.6,71.0,"Java, MongoDB, Django",2,Backend Developer
MBA,Finance,8.84,72.1,78.9,"Tally, Accounting, Finance",3,Accountant
B.Sc,Design,6.19,67.7,79.6,"CSS, HTML, Next.js, TypeScript, Vue",6,Frontend Developer
B.Com,Economics,6.42,87.4,84.6,"Content Strategy, Social Media, SEO, Copywriting, Digital Marketing",8,Marketing Specialist
MBA,Business Administration,6.78,96.2,90.3,"SQL, Market Research, Data Visualization, Process Improvement",5,Business Analyst
MCA,Computer Science,6.67,77.5,88.2,"CI/CD, Terraform, Jenkins",9,DevOps Engineer
MBA,Business Administration,9.28,84.0,83.9,"Process Improvement, Data Visualization, SQL, Market Research, Tableau, Power BI",11,Business Analyst
M.Tech,Computer Science,9.5,67.9,92.9,"Python, REST APIs, Java, Docker, GraphQL, Django",7,Backend Developer
M.Com,Accounting,7.94,68.8,81.8,"GST, Auditing, Tally, Advanced Excel, Accounting, Finance",12,Accountant
B.Sc,Design,8.89,86.6,70.8,"JavaScript, React, HTML, CSS, Next.js, Angular, TypeScript, Vue",12,Frontend Developer
MBA,Finance,7.67,80.5,85.8,"Market Research, SQL, Power BI, Process Improvement, Tableau, Data Visualization",5,Business Analyst
B.Com,Finance,7.4,74.5,86.3,"Accounting, GST, Advanced Excel, Tally, Auditing, Finance",1,Accountant
MBA,Finance,8.3,81.5,96.6,"Finance, Auditing, Accounting, Tally, Advanced Excel, GST",2,Accountant
B.Tech,Design,7.38,95.3,77.8,"JavaScript, HTML, CSS, Angular, React, Vue, Next.js, Tailwind",12,Frontend Developer
B.Tech,Design,8.75,86.7,94.9,"Angular, CSS, JavaScript, HTML, Vue, React, Tailwind, TypeScript",2,Frontend Developer
B.Tech,Design,7.18,77.4,91.1,"JavaScript, Angular, Next.js, Tailwind, React, CSS, TypeScript, HTML",2,Frontend Developer
B.Tech,Information Technology,7.38,70.9,72.1,"Market Research, Data Visualization, SQL, Power BI, Tableau, Process Improvement",12,Business Analyst
BBA,Marketing,7.93,82.8,89.4,"Content Strategy, SEO, Digital Marketing, Social Media",8,Marketing Specialist
MCA,Computer Science,6.69,87.9,85.6,"NumPy, Deep Learning, Data Analysis, TensorFlow",12,Data Scientist
MBA,Economics,8.86,90.9,72.7,"Copywriting, Content Strategy, Google Analytics, Digital Marketing, Social Media",5,Marketing Specialist
BBA,Economics,9.67,92.0,91.4,"Social Media, Google Analytics, Copywriting, Content Strategy, Digital Marketing, SEO",2,Marketing Specialist
B.Tech,Electronics,7.08,90.2,74.0,"Jenkins, Kubernetes, Linux, AWS, Terraform, CI/CD",8,DevOps Engineer
BBA,Business Administration,7.58,78.1,77.3,"Stakeholder Management, Market Research, Scrum, Roadmapping",6,Product Manager
MCA,Computer Science,9.01,69.5,74.5,"Data Structures, C++, Rust",12,Software Engineer
B.Tech,Marketing,9.17,83.1,89.0,"Product Strategy, Roadmapping, Jira, Stakeholder Management, Agile, Market Research",8,Product Manager
B.Tech,Information Technology,7.6,91.2,80.1,"MongoDB, Node.js, Python, SQL",1,Backend Developer
MBA,Communications,8.34,72.9,78.7,"Social Media, Content Strategy, Copywriting, Google Analytics, Digital Marketing, SEO",11,Marketing Specialist
MCA,Computer Science,9.73,73.4,65.5,"Go, Rust, Java, Python, System Design, Git, Data Structures",2,Software Engineer
BCA,Design,9.16,87.6,97.4,"CSS, Angular, Next.js, HTML, JavaScript, Vue, React, Tailwind",7,Frontend Developer
BBA,Business Administration,7.12,66.4,71.6,"Process Improvement, SQL, Data Visualization",0,Business Analyst
B.Sc,Design,7.36,90.8,93.6,"Next.js, Tailwind, JavaScript, HTML, CSS, TypeScript",5,Frontend Developer
B.Tech,Information Technology,7.89,81.4,95.5,"CI/CD, Terraform, Jenkins, Linux, Docker, AWS",8,DevOps Engineer
B.Tech,Electronics,7.22,67.6,86.8,"AWS, CI/CD, Linux, Docker, Kubernetes, Terraform",4,DevOps Engineer
B.Com,Marketing,7.04,97.3,96.3,"Google Analytics, Digital Marketing, Copywriting, SEO, Content Strategy, Social Media",1,Marketing Specialist
B.Tech,Finance,6.13,67.2,90.7,"Market Research, Tableau, Data Visualization, SQL, Process Improvement",5,Business Analyst
Diploma,Design,7.41,90.2,83.9,"JavaScript, Tailwind, Next.js",8,Frontend Developer
Diploma,Information Technology,9.47,68.9,90.6,"Vue, React, HTML, TypeScript, CSS, Tailwind, JavaScript, Next.js",11,Frontend Developer
BBA,Communications,9.24,79.9,94.7,"Copywriting, Google Analytics, Content Strategy, SEO, Digital Marketing",7,Marketing Specialist
MCA,AI,8.7,95.6,86.0,"C++, Go, Algorithms, C#, Rust",6,Software Engineer
MBA,Human Resources,7.37,83.9,80.4,"Employee Relations, Communication, Talent Acquisition, Recruiting",3,HR Manager
B.Com,Accounting,6.48,75.5,67.4,"Advanced Excel, Auditing, Finance, Tally, Accounting",7,Accountant
B.Tech,Finance,7.64,95.1,66.8,"Market Research, Process Improvement, Tableau, Data Visualization",1,Business Analyst
MBA,Business Administration,7.31,96.0,94.5,"Employee Relations, Onboarding, Talent Acquisition, Recruiting",5,HR Manager
B.Tech,Design,6.65,85.6,94.8,"Wireframing, User Testing, Adobe XD, Figma, Design Systems, Prototyping, UI/UX",5,UX Designer
B.Com,Accounting,8.47,90.3,78.7,"Accounting, Finance, GST",10,Accountant
M.Sc,Computer Science,7.13,67.4,67.0,"Pandas, NLP, Statistics, SQL, Deep Learning, Scikit-Learn, TensorFlow",7,Data Scientist
BCA,Information Technology,9.27,75.5,97.6,"REST APIs, Django, Java, FastAPI",5,Backend Developer
MCA,Information Technology,7.71,69.6,66.7,"PostgreSQL, Node.js, REST APIs, SQL, Docker, Python, Java",14,Backend Developer
M.Com,Accounting,8.9,81.4,82.0,"GST, Finance, Auditing, Accounting",7,Accountant
MCA,Computer Science,9.67,72.1,76.6,"CI/CD, Linux, Jenkins",5,DevOps Engineer
B.Com,Economics,8.9,77.1,78.2,"SEO, Copywriting, Google Analytics, Social Media, Content Strategy, Digital Marketing",9,Marketing Specialist
MBA,Business Administration,9.14,85.6,85.2,"Onboarding, Recruiting, Employee Relations, Communication, Talent Acquisition",2,HR Manager
M.Tech,Information Technology,6.15,88.5,91.5,"REST APIs, Java, SQL, GraphQL, MongoDB, Python, FastAPI",8,Backend Developer
B.Tech,Finance,7.49,85.3,92.8,"Scrum, Product Strategy, Stakeholder Management, Agile",9,Product Manager
Diploma,Design,6.42,78.7,75.2,"Vue, Tailwind, TypeScript, HTML, JavaScript, Next.js, React",11,Frontend Developer
BBA,Information Technology,6.65,85.8,85.5,"Power BI, Market Research, Tableau, Process Improvement, Data Visualization, SQL",6,Business Analyst
B.Tech,Business Administration,6.72,79.6,78.8,"Product Strategy, Jira, Roadmapping",6,Product Manager
Diploma,CS,9.79,80.8,77.4,"Prototyping, Adobe XD, Figma, UI/UX, Wireframing, User Testing, Design Systems",2,UX Designer
BA,Communications,7.06,74.9,96.1,"Copywriting, Digital Marketing, Google Analytics, SEO, Social Media",4,Marketing Specialist
M.Tech,Computer Science,6.46,87.3,77.5,"Terraform, CI/CD, Kubernetes, Jenkins, Docker, Linux, AWS",14,DevOps Engineer
BCA,Information Technology,9.51,86.6,89.7,"Vue, CSS, JavaScript",3,Frontend Developer
B.Tech,CS,8.42,66.7,78.6,"Wireframing, UI/UX, Figma, Adobe XD, User Testing, Design Systems, Prototyping",11,UX Designer
MBA,Communications,8.48,94.1,80.7,"SEO, Social Media, Content Strategy, Google Analytics",4,Marketing Specialist
MCA,Information Technology,7.59,92.6,95.8,"AWS, Jenkins, Linux, Docker, Kubernetes, Terraform, CI/CD",14,DevOps Engineer
BCA,Computer Science,7.08,97.6,82.9,"MongoDB, Python, Django, FastAPI, Docker, GraphQL, PostgreSQL, Java",7,Backend Developer
B.Tech,Marketing,7.74,73.5,71.1,"Agile, Roadmapping, Scrum, Stakeholder Management, Product Strategy",11,Product Manager
B.Sc,Design,6.33,87.1,71.1,"React, JavaScript, Vue, Angular, Next.js, TypeScript, Tailwind, CSS",2,Frontend Developer
BA,Marketing,7.7,73.8,75.9,"Digital Marketing, Google Analytics, Content Strategy",9,Marketing Specialist
B.Com,Finance,7.17,78.4,81.6,"GST, Tally, Accounting, Auditing, Advanced Excel, Finance",11,Accountant
M.Tech,Computer Science,6.58,89.7,85.0,"Kubernetes, Jenkins, Linux, Docker, AWS, Terraform, CI/CD",12,DevOps Engineer
BBA,Human Resources,8.01,76.9,95.3,"Communication, Recruiting, Onboarding, Employee Relations",1,HR Manager
PhD,Computer Science,7.25,82.2,68.8,"NumPy, TensorFlow, Data Analysis, NLP",3,Data Scientist
M.Com,Accounting,8.14,83.4,87.2,"Advanced Excel, Accounting, Auditing, Finance, Tally, GST",4,Accountant
M.Sc,Artificial Intelligence,6.17,76.4,67.1,"SQL, NumPy, Machine Learning",0,Data Scientist
M.Tech,Computer Science,9.72,86.3,78.9,"System Design, C#, Go, Rust, Data Structures",8,Software Engineer
BCA,Computer Science,8.01,89.0,72.3,"FastAPI, PostgreSQL, Java, REST APIs, Python, Node.js, MongoDB, SQL",0,Backend Developer
MCA,Artificial Intelligence,7.32,74.1,95.9,"TensorFlow, Deep Learning, NLP, NumPy, Statistics, Machine Learning, Scikit-Learn, SQL",13,Data Scientist
B.Tech,AI,8.26,79.7,87.2,"Rust, Java, Python, C++, Go, Data Structures",0,Software Engineer
B.Sc,Information Technology,6.89,95.2,84.0,"UI/UX, User Testing, Design Systems, Figma, Prototyping, Adobe XD",9,UX Designer
MBA,Finance,7.14,67.0,96.3,"GST, Tally, Finance, Advanced Excel",15,Accountant
B.Tech,Finance,8.99,75.5,78.7,"Product Strategy, Market Research, Roadmapping, Scrum, Jira, Agile",2,Product Manager
MCA,Computer Science,9.48,83.6,96.9,"CI/CD, Docker, Terraform, Kubernetes, Jenkins, AWS, Linux",9,DevOps Engineer
BBA,Business Administration,6.35,88.9,71.3,"Agile, Scrum, Roadmapping, Market Research, Stakeholder Management",4,Product Manager
B.Tech,Computer Science,6.79,94.9,75.0,"Django, PostgreSQL, SQL, Docker",0,Backend Developer
BA,CS,8.64,88.2,78.1,"Adobe XD, Prototyping, UI/UX",3,UX Designer
BBA,Business Administration,7.95,81.4,68.3,"Talent Acquisition, Onboarding, Employee Relations, Communication, Recruiting",11,HR Manager
BA,Marketing,8.82,65.5,83.3,"Digital Marketing, Google Analytics, SEO, Copywriting, Social Media",9,Marketing Specialist
MBA,Finance,8.17,73.1,83.2,"Tally, Auditing, GST, Accounting, Finance",6,Accountant
MCA,Electronics,6.53,83.0,71.1,"Terraform, CI/CD, Jenkins, Docker, Kubernetes, Linux, AWS",11,DevOps Engineer
PhD,Data Science,7.57,92.8,72.6,"NLP, Python, NumPy",11,Data Scientist
MBA,Business Administration,6.03,83.2,65.4,"Market Research, Scrum, Roadmapping, Stakeholder Management, Jira, Agile, Product Strategy",12,Product Manager
M.Tech,Information Technology,9.06,95.0,68.5,"Linux, Terraform, CI/CD",9,DevOps Engineer
MBA,Business Administration,9.65,80.1,73.0,"Product Strategy, Scrum, Jira, Stakeholder Management, Agile, Roadmapping, Market Research",4,Product Manager
M.Tech,Computer Science,8.1,66.9,65.3,"Jenkins, Terraform, AWS, Linux, Docker, Kubernetes, CI/CD",2,DevOps Engineer
B.Com,Communications,9.42,87.8,83.7,"Social Media, SEO, Copywriting, Google Analytics, Digital Marketing",4,Marketing Specialist
B.Tech,Computer Science,7.2,96.7,84.4,"TensorFlow, NumPy, Python, Data Analysis, Deep Learning",12,Data Scientist
B.Tech,Information Technology,7.46,89.4,91.1,"Django, SQL, GraphQL, REST APIs",11,Backend Developer
MCA,Computer Science,7.29,90.4,96.5,"System Design, Python, C++",13,Software Engineer
B.Tech,Design,9.58,79.3,87.4,"Tailwind, Next.js, CSS, JavaScript, Vue",10,Frontend Developer
B.Tech,Information Technology,7.44,90.9,70.1,"Node.js, FastAPI, MongoDB, Java",6,Backend Developer
B.Sc,Computer Science,7.37,73.9,69.4,"HTML, Vue, React",2,Frontend Developer
BCA,Information Technology,8.11,84.7,90.9,"Python, Node.js, REST APIs",6,Backend Developer
MCA,Artificial Intelligence,6.64,73.9,73.9,"Machine Learning, TensorFlow, SQL, Data Analysis, Scikit-Learn, NumPy",2,Data Scientist
BBA,Marketing,8.74,81.4,85.4,"Scrum, Market Research, Roadmapping, Stakeholder Management, Agile, Product Strategy",7,Product Manager
BCA,Information Technology,9.06,75.9,76.0,"System Design, Data Structures, Rust",10,Software Engineer
B.Com,Finance,9.67,97.0,74.6,"Finance, Tally, Advanced Excel, Auditing, Accounting",11,Accountant
MBA,Information Technology,7.39,95.8,71.6,"Power BI, SQL, Process Improvement, Tableau",3,Business Analyst
B.Tech,Business Administration,8.56,69.6,75.0,"SQL, Tableau, Process Improvement, Market Research, Data Visualization, Power BI",4,Business Analyst
BBA,Information Technology,8.03,95.5,93.7,"SQL, Data Visualization, Process Improvement, Power BI, Tableau, Market Research",6,Business Analyst
MBA,Business Administration,6.63,85.2,83.6,"Communication, Recruiting, Talent Acquisition, Onboarding, Employee Relations",11,HR Manager
MBA,Finance,7.69,77.9,90.5,"Data Visualization, Process Improvement, Market Research, Tableau, SQL, Power BI",12,Business Analyst
MBA,Business Administration,7.58,96.7,68.8,"Talent Acquisition, Recruiting, Employee Relations",3,HR Manager
B.Sc,Information Technology,8.74,79.9,67.2,"React, Tailwind, JavaScript, Next.js, HTML, Angular",0,Frontend Developer
B.Tech,Information Technology,8.13,96.6,72.7,"C++, C#, Python, Algorithms, Rust, System Design, Data Structures, Git",6,Software Engineer
BBA,Business Administration,8.25,77.8,88.3,"Process Improvement, SQL, Market Research, Data Visualization, Power BI, Tableau",3,Business Analyst
M.Tech,Computer Science,6.43,87.1,81.2,"AWS, Linux, Docker, Kubernetes, Terraform, Jenkins, CI/CD",6,DevOps Engineer
M.Com,Finance,9.49,84.5,87.2,"Accounting, GST, Finance, Tally, Auditing, Advanced Excel",5,Accountant
BCA,Information Technology,7.94,78.8,69.5,"C#, Data Structures, Rust",6,Software Engineer
MCA,Information Technology,7.2,79.9,66.8,"PostgreSQL, Java, FastAPI, Django, SQL, Docker, Node.js, MongoDB",1,Backend Developer
BBA,Marketing,8.7,79.6,70.5,"Social Media, Copywriting, Google Analytics, Content Strategy, Digital Marketing, SEO",9,Marketing Specialist
M.Tech,Artificial Intelligence,7.1,90.8,83.7,"Pandas, SQL, TensorFlow",13,Data Scientist
MBA,Communications,8.06,90.0,90.1,"Digital Marketing, Social Media, Copywriting",9,Marketing Specialist
Diploma,Design,7.32,92.0,79.5,"Design Systems, Adobe XD, UI/UX, Wireframing, Figma, User Testing, Prototyping",1,UX Designer
BA,CS,9.09,91.6,83.8,"Adobe XD, Wireframing, User Testing, Prototyping, Figma, Design Systems, UI/UX",8,UX Designer
M.Tech,Electronics,8.18,96.4,82.0,"Kubernetes, Terraform, Jenkins, Linux",14,DevOps Engineer
BCA,Information Technology,6.95,88.5,92.3,"Algorithms, C#, Go",12,Software Engineer
MBA,Finance,7.72,85.9,94.0,"Market Research, Power BI, SQL, Tableau",7,Business Analyst
BA,Business Administration,9.3,93.0,68.1,"Onboarding, Talent Acquisition, Employee Relations, Communication, Recruiting",7,HR Manager
B.Tech,Information Technology,9.13,81.3,75.7,"Data Visualization, Market Research, SQL, Process Improvement, Tableau",4,Business Analyst
BCA,Design,6.47,93.3,79.6,"Angular, HTML, Tailwind, TypeScript, React, Next.js",0,Frontend Developer
MCA,Computer Science,7.41,94.8,70.5,"MongoDB, Java, FastAPI, Node.js, REST APIs, Django, GraphQL, Python",11,Backend Developer
