degree,specialization,academic_score,marks_10th,marks_12th,skills,experience_years,role
BBA,Business Administration,9.57,89.5,82.2,"Talent Acquisition, Communication, Employee Relations, Onboarding, Recruiting",10,HR Manager
BA,Mathematics,8.45,71.0,88.2,"Report Writing, SPSS, Excel, Data Analysis, Research, Market Research",12,Research Analyst
MBA,Marketing,8.47,94.4,67.1,"Google Analytics, Social Media, Copywriting, Content Strategy, Digital Marketing, SEO",12,Marketing Specialist
BCA,Design,9.59,91.2,88.8,"JavaScript, Vue, HTML, Next.js, Angular, Tailwind, CSS",0,Frontend Developer
M.Com,Commerce,7.93,87.0,85.2,"Taxation, Tally, GST, Finance, Advanced Excel, Accounting, Auditing",8,Accountant
B.Com,Economics,6.21,69.1,66.1,"Google Analytics, Content Strategy, Digital Marketing, SEO",1,Marketing Specialist
B.Tech,Maths,8.18,93.0,91.4,"Power BI, Excel, SQL",9,Data Analyst
BCA,Mathematics,8.04,90.3,66.0,"Data Visualization, SQL, Python, Excel, Power BI, Statistics, Tableau",3,Data Analyst
M.Sc,Statistics,8.8,71.9,66.6,"Data Analysis, Market Research, Excel, Report Writing, SPSS, Research",11,Research Analyst
B.Tech,Marketing,9.07,71.0,95.8,"Roadmapping, Market Research, Jira, Product Strategy, Stakeholder Management, Scrum",9,Product Manager
MBA,Economics,7.56,70.6,64.2,"Content Strategy, Copywriting, Digital Marketing, Social Media, Google Analytics, SEO",3,Marketing Specialist
MBA,Accounting,7.87,93.2,85.9,"Data Analysis, Financial Modeling, Excel, Accounting, Bloomberg, Valuation",13,Financial Analyst
M.Sc,Statistics,6.47,79.4,85.4,"Report Writing, SPSS, Research, Excel",3,Research Analyst
M.Tech,AI,7.41,72.0,94.1,"Go, Java, Git",14,Software Engineer
M.Tech,Data Science,8.8,72.6,95.4,"Data Analysis, Deep Learning, Python, NLP",11,Data Scientist
B.Tech,Maths,8.99,68.2,73.8,"Statistics, Tableau, Python",8,Data Analyst
BCA,Computer Science,6.6,72.1,88.4,"Python, Statistics, SQL, Power BI, Excel, Tableau, Data Visualization",10,Data Analyst
M.Com,Finance,6.93,95.9,87.3,"Valuation, Accounting, Excel, Data Analysis",15,Financial Analyst
B.Tech,Civil Engineering,7.84,74.1,65.8,"Project Management, Cost Estimation, MS Project, Contract Management, Primavera P6",10,Construction Manager
B.Tech,Structural Engineering,7.95,89.1,70.4,"Structural Analysis, ETABS, STAAD Pro, AutoCAD",7,Structural Engineer
MBA,Economics,9.65,82.3,64.1,"Content Strategy, Google Analytics, Copywriting",10,Marketing Specialist
B.Tech,Electronics,8.67,75.0,72.1,"Jenkins, Kubernetes, AWS, Terraform, Linux, CI/CD, Docker",6,DevOps Engineer
M.Tech,Mechanical Engineering,6.97,70.6,69.6,"Ansys, Thermodynamics, SolidWorks, Manufacturing, CAD/CAM, AutoCAD",7,Mechanical Engineer
MBA,Business Administration,6.23,63.1,70.6,"Recruiting, Communication, Talent Acquisition, Onboarding, Employee Relations",1,HR Manager
Diploma,Civil Engineering,7.14,97.6,96.1,"Estimation, Construction Materials, AutoCAD, STAAD Pro, Project Management, Surveying",8,Civil Engineer
BCA,Information Technology,6.04,75.8,65.7,"REST APIs, Java, Django, Docker",1,Backend Developer
B.Tech,Computer Science,8.06,88.8,88.9,"Pandas, TensorFlow, Scikit-Learn",7,Data Scientist
M.Sc,Statistics,8.54,69.9,84.6,"Report Writing, Research, Excel, Market Research",10,Research Analyst
BBA,Human Resources,6.04,83.1,66.2,"Employee Relations, Talent Acquisition, Communication, Recruiting, Onboarding",10,HR Manager
B.Tech,Computer Science,6.27,66.3,71.7,"NLP, Data Analysis, Pandas, NumPy",11,Data Scientist
M.Tech,Structural Engineering,6.99,89.7,77.4,"ETABS, Structural Analysis, STAAD Pro, AutoCAD",8,Structural Engineer
M.Tech,Computer Science,7.4,89.1,95.5,"MongoDB, FastAPI, GraphQL, Django",9,Backend Developer
M.Tech,Artificial Intelligence,6.04,83.6,81.4,"Data Analysis, Pandas, Statistics, Scikit-Learn, Deep Learning, Python",2,Data Scientist
MA,Economics,7.24,73.0,63.3,"Report Writing, Data Analysis, Excel, Research",3,Research Analyst
B.Tech,Mechanical Engineering,7.2,83.8,82.5,"SolidWorks, Manufacturing, AutoCAD, CAD/CAM, Ansys",6,Mechanical Engineer
MBA,Business Administration,9.0,86.0,83.8,"Agile, Roadmapping, Jira, Scrum, Product Strategy",15,Product Manager
B.Tech,Marketing,8.66,92.9,61.2,"Stakeholder Management, Jira, Roadmapping, Agile",0,Product Manager
B.Com,Economics,8.41,65.3,79.6,"Financial Modeling, Accounting, Excel",6,Financial Analyst
Diploma,Mechanical Engineering,6.71,63.3,98.0,"CAD/CAM, Thermodynamics, SolidWorks, Ansys",2,Mechanical Engineer
M.Sc,Artificial Intelligence,6.42,85.8,82.5,"SQL, TensorFlow, Machine Learning, Scikit-Learn, NLP",11,Data Scientist
B.Tech,Mechanical,6.15,88.3,80.1,"SolidWorks, Manufacturing, AutoCAD, Ansys, Thermodynamics, CAD/CAM",0,Mechanical Engineer
BBA,Business Administration,6.3,90.1,95.7,"Power BI, Market Research, Excel",6,Business Analyst
B.Tech,Civil Engineering,7.95,81.2,68.5,"Primavera P6, Cost Estimation, MS Project, Contract Management, Project Management",7,Construction Manager
M.Tech,Computer Science,8.38,64.5,92.2,"Python, Algorithms, Rust, Java, System Design, Data Structures, Git",10,Software Engineer
MCA,Electronics,6.56,76.2,75.7,"Docker, AWS, Kubernetes, Jenkins, CI/CD, Linux, Terraform",1,DevOps Engineer
B.Tech,Structural Engineering,7.32,82.6,83.5,"AutoCAD, Steel Design, STAAD Pro, ETABS, Structural Analysis",11,Structural Engineer
MBA,Information Technology,9.42,95.4,81.6,"Process Improvement, Excel, Power BI, Data Visualization, SQL, Tableau, Market Research",12,Business Analyst
MCA,Computer Science,6.83,75.6,65.4,"Git, Rust, Go, C++",14,Software Engineer
B.Tech,Construction Management,7.35,61.7,85.4,"Contract Management, Project Management, Cost Estimation, Primavera P6, MS Project",12,Construction Manager
M.Sc,Maths,6.7,75.4,95.4,"Curriculum Development, Lesson Planning, Mentoring, Public Speaking, Communication",11,Teaching Professional
B.Tech,Civil Engineering,6.73,84.1,63.9,"AutoCAD, Structural Analysis, STAAD Pro, Steel Design, ETABS",8,Structural Engineer
M.Tech,Structural Engineering,9.78,93.9,60.4,"Structural Analysis, AutoCAD, ETABS, STAAD Pro, Steel Design",8,Structural Engineer
BCA,Computer Science,9.16,95.4,69.0,"CSS, JavaScript, Vue, TypeScript",1,Frontend Developer
B.Tech,CS,7.35,97.4,78.8,"UI/UX, Figma, Design Systems, Wireframing, User Testing, Adobe XD",9,UX Designer
MBA,Economics,7.73,79.2,86.8,"Bloomberg, Data Analysis, Accounting, Financial Modeling, Excel",3,Financial Analyst
B.Sc,Design,7.77,91.6,62.3,"Figma, Wireframing, UI/UX, User Testing, Prototyping, Adobe XD, Design Systems",11,UX Designer
M.Tech,Information Technology,7.01,74.9,80.6,"Java, Data Structures, C++, System Design, Git, Rust",4,Software Engineer
BA,Human Resources,8.12,83.9,97.6,"Employee Relations, Talent Acquisition, Communication, Onboarding, Recruiting",12,HR Manager
B.Sc,Business,7.1,96.5,81.8,"Report Writing, Data Analysis, Market Research, Excel, Research, SPSS",4,Research Analyst
BCA,Information Technology,7.68,94.7,75.5,"Git, Data Structures, Algorithms, Go, Python, Rust, Java, System Design",7,Software Engineer
MBA,Civil Engineering,7.52,78.7,65.5,"Project Management, MS Project, Cost Estimation, Contract Management, Primavera P6",12,Construction Manager
Diploma,Mechanical Engineering,6.05,81.6,91.1,"Ansys, Thermodynamics, Manufacturing, AutoCAD",0,Mechanical Engineer
B.Tech,CS,8.5,70.2,62.0,"Wireframing, Figma, Prototyping, Adobe XD, UI/UX, Design Systems, User Testing",1,UX Designer
B.Sc,Computer Science,9.72,68.4,96.2,"Vue, HTML, Tailwind, React",12,Frontend Developer
BCA,Computer Science,8.31,87.7,64.5,"Node.js, REST APIs, SQL, MongoDB, FastAPI, GraphQL, Django, Java",3,Backend Developer
B.Tech,Structural Engineering,6.95,94.9,69.1,"STAAD Pro, ETABS, Structural Analysis, AutoCAD",11,Structural Engineer
B.Tech,Business Administration,9.62,64.8,94.9,"Product Strategy, Stakeholder Management, Jira, Scrum, Market Research, Roadmapping",5,Product Manager
MBA,Business Administration,8.44,86.9,86.7,"Talent Acquisition, Recruiting, Communication, Onboarding",11,HR Manager
MBA,Civil Engineering,6.82,71.6,70.7,"Project Management, Primavera P6, MS Project, Contract Management",10,Construction Manager
PhD,Computer Science,8.55,80.2,84.2,"Data Analysis, Machine Learning, SQL, TensorFlow, Python",2,Data Scientist
Diploma,Information Technology,6.24,75.8,90.0,"Prototyping, Design Systems, User Testing",11,UX Designer
Diploma,Construction,6.72,88.9,66.7,"Site Management, Surveying, Quality Control",4,Site Engineer
B.Tech,Artificial Intelligence,9.03,71.1,74.2,"Pandas, Python, NumPy, Scikit-Learn",2,Data Scientist
Diploma,Mechanical Engineering,8.02,95.3,62.0,"Ansys, SolidWorks, Manufacturing, Thermodynamics, CAD/CAM, AutoCAD",5,Mechanical Engineer
BA,Economics,7.86,88.8,96.2,"Stata, R, Economic Research, Data Analysis, Statistics, SAS, Econometrics",0,Economist
M.Tech,Mechanical Engineering,8.31,71.3,96.7,"CAD/CAM, Manufacturing, Thermodynamics, AutoCAD",11,Mechanical Engineer
MBA,Construction Management,8.39,88.9,69.5,"Contract Management, Primavera P6, Cost Estimation, MS Project, Project Management",5,Construction Manager
Diploma,Design,8.61,82.0,87.3,"Adobe XD, Figma, Wireframing, User Testing",6,UX Designer
M.Tech,Mechanical Engineering,8.69,67.6,88.9,"Ansys, Manufacturing, Thermodynamics, SolidWorks, CAD/CAM, AutoCAD",10,Mechanical Engineer
B.Sc,Economics,7.25,70.8,92.5,"R, SAS, Data Analysis, Statistics, Economic Research, Stata, Econometrics",4,Economist
MCA,Information Technology,6.98,95.0,85.9,"Python, Java, Django, SQL, MongoDB, REST APIs",14,Backend Developer
M.Tech,Artificial Intelligence,6.2,73.6,60.4,"Data Analysis, NLP, Scikit-Learn, Statistics, Pandas",4,Data Scientist
BA,Economics,7.62,66.7,95.8,"SEO, Social Media, Google Analytics, Digital Marketing, Copywriting, Content Strategy",9,Marketing Specialist
MA,English,8.68,75.5,81.6,"Curriculum Development, Lesson Planning, Mentoring, Public Speaking, Communication",9,Teaching Professional
BBA,Information Technology,7.45,92.9,80.7,"SQL, Data Visualization, Process Improvement, Tableau, Market Research, Excel, Power BI",6,Business Analyst
PhD,English,7.87,93.7,74.2,"Lesson Planning, Communication, Public Speaking, Curriculum Development, Mentoring",7,Teaching Professional
PhD,Computer Science,8.36,69.6,73.5,"Deep Learning, Data Analysis, Machine Learning, TensorFlow, Pandas, Statistics, Scikit-Learn, NLP",7,Data Scientist
M.Tech,Information Technology,7.08,82.8,71.9,"Terraform, AWS, Jenkins, Kubernetes, Docker, Linux, CI/CD",4,DevOps Engineer
MBA,Marketing,6.2,76.3,80.9,"Agile, Roadmapping, Stakeholder Management, Product Strategy, Market Research, Scrum, Jira",10,Product Manager
B.Sc,Information Technology,9.66,67.1,86.2,"Wireframing, Adobe XD, Prototyping, UI/UX, User Testing, Figma, Design Systems",12,UX Designer
B.Tech,Design,8.43,67.8,90.0,"User Testing, Design Systems, UI/UX, Figma, Wireframing, Adobe XD",5,UX Designer
MCA,Computer Science,7.18,89.1,90.5,"FastAPI, REST APIs, Python, Node.js",7,Backend Developer
BA,Economics,7.48,96.4,70.9,"Google Analytics, Social Media, Content Strategy, Copywriting",8,Marketing Specialist
MBA,Accounting,6.96,65.9,88.9,"Excel, Bloomberg, Accounting, Valuation, Financial Modeling",1,Financial Analyst
MBA,Marketing,7.96,87.2,75.1,"Agile, Scrum, Stakeholder Management, Jira, Roadmapping, Market Research, Product Strategy",9,Product Manager
M.Tech,Computer Science,8.8,95.0,94.3,"Kubernetes, CI/CD, Terraform",3,DevOps Engineer
MBA,Civil,6.14,68.5,96.2,"Primavera P6, Cost Estimation, Project Management",6,Construction Manager
MBA,Finance,9.38,84.7,74.5,"Power BI, Data Visualization, Process Improvement, SQL, Market Research, Tableau, Excel",15,Business Analyst
M.Tech,Information Technology,8.11,95.1,84.2,"Kubernetes, CI/CD, Docker, Jenkins, Terraform, Linux, AWS",1,DevOps Engineer
M.Tech,Mechanical Engineering,9.57,85.2,83.9,"Manufacturing, AutoCAD, Ansys, SolidWorks, Thermodynamics",6,Mechanical Engineer
BA,Human Resources,7.96,67.3,79.8,"Talent Acquisition, Employee Relations, Communication, Recruiting, Onboarding",4,HR Manager
MCA,Information Technology,8.46,93.1,78.3,"Java, Django, PostgreSQL, REST APIs, MongoDB, FastAPI, SQL, GraphQL",15,Backend Developer
MCA,Information Technology,7.39,95.1,89.9,"Java, PostgreSQL, FastAPI, Django",8,Backend Developer
BA,Economics,6.64,87.4,62.7,"Stata, SAS, Data Analysis",8,Economist
MBA,Computer Science,8.38,79.3,96.6,"Scrum, Stakeholder Management, Market Research",15,Product Manager
MBA,Civil,7.66,96.6,69.9,"Cost Estimation, Project Management, Primavera P6, Contract Management, MS Project",2,Construction Manager
B.Com,Marketing,9.46,72.2,74.9,"Social Media, Digital Marketing, SEO, Google Analytics, Copywriting",3,Marketing Specialist
M.Com,Accounting,8.49,64.8,79.6,"Excel, Accounting, Valuation",12,Financial Analyst
MCA,Information Technology,9.78,70.8,85.7,"CI/CD, Docker, Linux, Terraform",3,DevOps Engineer
MBA,Economics,7.43,80.7,70.8,"Google Analytics, Digital Marketing, Copywriting, Social Media, Content Strategy, SEO",4,Marketing Specialist
MCA,Computer Science,9.04,62.3,81.2,"C++, Java, Python, Data Structures, Git, Go, System Design",14,Software Engineer
B.Tech,Computer Science,9.58,80.6,95.4,"Agile, Roadmapping, Stakeholder Management, Market Research, Jira, Product Strategy",12,Product Manager
BCA,Information Technology,8.21,83.9,85.4,"MongoDB, SQL, Django, Java, PostgreSQL, FastAPI, Node.js, Python",3,Backend Developer
B.Tech,Mechanical Engineering,7.2,64.4,93.2,"Ansys, AutoCAD, CAD/CAM",10,Mechanical Engineer
BA,Information Technology,7.79,71.7,90.1,"Design Systems, Adobe XD, Figma, User Testing",4,UX Designer
M.Tech,Information Technology,6.05,80.0,89.4,"AWS, Kubernetes, Docker, Jenkins",14,DevOps Engineer
MBA,Human Resources,7.86,90.9,76.0,"Recruiting, Onboarding, Communication, Talent Acquisition, Employee Relations",5,HR Manager
MBA,Computer Science,6.41,78.7,86.6,"Product Strategy, Scrum, Jira",1,Product Manager
B.Tech,Civil,6.71,64.9,65.1,"AutoCAD, Surveying, STAAD Pro, Construction Materials, Project Management, Estimation",4,Civil Engineer
BCA,Information Technology,7.52,61.5,95.3,"SQL, MongoDB, REST APIs, PostgreSQL, FastAPI, Docker",3,Backend Developer
B.Tech,Civil,8.19,64.2,89.5,"Surveying, Health & Safety, Quality Control, Site Management",4,Site Engineer
MCA,Computer Science,9.07,77.2,79.5,"Machine Learning, SQL, Statistics, NLP, Pandas, NumPy",10,Data Scientist
B.Tech,Civil,9.51,76.9,89.6,"Surveying, Site Management, Health & Safety, Quality Control, AutoCAD",5,Site Engineer
M.Com,Accounting,6.67,89.7,85.8,"Bloomberg, Valuation, Accounting",11,Financial Analyst
B.Tech,Civil Engineering,6.6,77.4,84.5,"Structural Analysis, AutoCAD, STAAD Pro",6,Structural Engineer
MBA,Finance,7.91,86.7,76.6,"Data Analysis, Accounting, Financial Modeling, Valuation, Excel, Bloomberg",15,Financial Analyst
M.Tech,Mechanical,6.51,77.9,73.7,"Thermodynamics, Ansys, CAD/CAM, AutoCAD, Manufacturing, SolidWorks",2,Mechanical Engineer
B.Sc,CS,7.3,79.8,86.2,"Figma, UI/UX, Adobe XD",3,UX Designer
BBA,Information Technology,7.37,83.9,62.9,"Excel, Tableau, Process Improvement, Data Visualization, Power BI",3,Business Analyst
Diploma,Civil,9.31,87.8,81.4,"Site Management, Quality Control, Surveying, Health & Safety, AutoCAD",3,Site Engineer
MBA,Finance,9.53,77.0,68.8,"Valuation, Data Analysis, Bloomberg, Financial Modeling, Excel, Accounting",9,Financial Analyst
M.Tech,Computer Science,9.01,76.0,62.4,"Machine Learning, Python, NLP, Data Analysis, Scikit-Learn, TensorFlow",10,Data Scientist
B.Com,Accounting,6.63,88.9,94.2,"Auditing, GST, Finance, Advanced Excel, Taxation",6,Accountant
B.Sc,Maths,8.22,91.4,85.0,"Data Visualization, Power BI, Tableau, SQL, Python, Excel, Statistics",12,Data Analyst
M.Com,Accounting,6.08,64.9,63.0,"Finance, GST, Accounting",3,Accountant
M.Tech,Artificial Intelligence,7.37,81.7,77.8,"SQL, Machine Learning, NLP, Data Analysis, NumPy, TensorFlow, Python",3,Data Scientist
MBA,Economics,9.42,87.8,74.5,"Data Analysis, Financial Modeling, Valuation",14,Financial Analyst
Diploma,Civil,7.25,65.4,81.8,"AutoCAD, Construction Materials, Surveying, Project Management, STAAD Pro",12,Civil Engineer
B.Tech,Civil,8.06,94.6,60.4,"Primavera P6, Contract Management, Project Management",0,Construction Manager
B.Com,Mathematics,6.45,94.3,84.8,"SPSS, Research, Market Research",1,Research Analyst
M.Sc,Artificial Intelligence,7.76,72.9,65.5,"Machine Learning, Python, Data Analysis, Statistics, SQL, Deep Learning",6,Data Scientist
B.Tech,Structural Engineering,8.62,73.7,65.8,"ETABS, STAAD Pro, Steel Design, Structural Analysis, AutoCAD",9,Structural Engineer
B.Tech,Civil,6.59,74.2,84.8,"AutoCAD, Quality Control, Site Management, Surveying",5,Site Engineer
BCA,Information Technology,6.71,63.9,70.2,"C#, Java, Go",11,Software Engineer
B.Tech,Construction Management,8.16,90.3,66.6,"Primavera P6, Project Management, Cost Estimation, Contract Management, MS Project",1,Construction Manager
B.Tech,Construction Management,6.22,88.6,91.9,"Contract Management, Cost Estimation, MS Project, Project Management, Primavera P6",11,Construction Manager
M.Sc,Business,8.9,72.4,77.9,"SPSS, Market Research, Excel",14,Research Analyst
BBA,Information Technology,6.99,87.1,64.7,"SQL, Process Improvement, Data Visualization",9,Business Analyst
B.Tech,Mechanical,9.32,72.4,93.0,"Thermodynamics, Ansys, Manufacturing, AutoCAD, SolidWorks, CAD/CAM",1,Mechanical Engineer
B.Tech,Business Administration,6.29,86.0,60.8,"Data Visualization, Market Research, Tableau, SQL",4,Business Analyst
B.Sc,Economics,9.31,91.9,79.1,"Stata, Data Analysis, R, SAS, Statistics, Economic Research",1,Economist
MBA,Finance,7.39,96.9,88.0,"Excel, SQL, Market Research, Process Improvement, Data Visualization, Power BI, Tableau",9,Business Analyst
B.Tech,Computer Science,7.69,89.9,60.5,"Agile, Roadmapping, Stakeholder Management, Scrum",12,Product Manager
MBA,Economics,6.29,95.7,63.7,"SEO, Google Analytics, Digital Marketing, Copywriting",7,Marketing Specialist
B.Tech,Mechanical,9.07,62.3,77.2,"Thermodynamics, AutoCAD, Ansys, SolidWorks, CAD/CAM, Manufacturing",10,Mechanical Engineer
MBA,Human Resources,7.58,82.0,87.6,"Employee Relations, Recruiting, Onboarding, Talent Acquisition",10,HR Manager
B.Tech,Computer Science,8.47,92.4,75.7,"Python, Excel, Data Visualization",11,Data Analyst
B.Tech,Civil Engineering,9.7,86.8,66.8,"Primavera P6, Project Management, Cost Estimation, Contract Management, MS Project",2,Construction Manager
MCA,Computer Science,6.41,60.0,74.7,"C++, Data Structures, Algorithms, System Design",7,Software Engineer
B.Tech,Data Science,9.08,81.1,82.3,"Deep Learning, Machine Learning, Scikit-Learn",8,Data Scientist
B.Com,Finance,8.08,74.1,63.5,"Financial Modeling, Data Analysis, Bloomberg, Accounting, Excel, Valuation",0,Financial Analyst
MA,Economics,8.2,88.7,96.1,"Econometrics, Stata, Economic Research, Data Analysis, Statistics, SAS",5,Economist
M.Tech,Structural Engineering,7.62,86.2,63.7,"STAAD Pro, AutoCAD, ETABS",8,Structural Engineer
B.Tech,Mechanical Engineering,8.18,70.4,61.8,"Manufacturing, SolidWorks, Thermodynamics, AutoCAD, CAD/CAM",6,Mechanical Engineer
M.Tech,Civil Engineering,6.77,71.0,71.5,"Estimation, Project Management, STAAD Pro, AutoCAD, Surveying, Construction Materials",5,Civil Engineer
M.Tech,Electronics,7.09,67.3,73.1,"CI/CD, Terraform, Jenkins, AWS, Linux",9,DevOps Engineer
Diploma,Construction,7.58,73.4,72.4,"Quality Control, Site Management, AutoCAD, Surveying",2,Site Engineer
M.Tech,Computer Science,8.64,78.2,68.7,"Data Structures, C++, System Design",12,Software Engineer
M.Tech,Structural Engineering,6.61,93.0,64.0,"Structural Analysis, AutoCAD, Steel Design, STAAD Pro, ETABS",2,Structural Engineer
Diploma,Construction,7.42,71.8,91.0,"Health & Safety, Surveying, AutoCAD, Site Management, Quality Control",10,Site Engineer
B.Tech,Marketing,7.46,67.0,62.8,"Jira, Roadmapping, Agile, Market Research, Product Strategy",8,Product Manager
B.Tech,Construction,7.48,62.8,83.5,"Site Management, Surveying, Health & Safety, AutoCAD",5,Site Engineer
B.Tech,Civil,8.54,83.0,78.0,"Steel Design, STAAD Pro, Structural Analysis, ETABS, AutoCAD",6,Structural Engineer
M.Tech,Computer Science,8.65,67.0,85.6,"Linux, Terraform, CI/CD, Kubernetes",3,DevOps Engineer
BBA,Economics,9.4,89.8,69.7,"Data Analysis, Bloomberg, Accounting, Financial Modeling, Valuation, Excel",0,Financial Analyst
B.Tech,Civil Engineering,9.61,96.1,61.3,"AutoCAD, Surveying, STAAD Pro, Estimation, Construction Materials, Project Management",11,Civil Engineer
B.Sc,Mathematics,9.66,73.7,72.1,"Data Analysis, Excel, Research, SPSS, Market Research",5,Research Analyst
MCA,Computer Science,7.91,90.1,61.6,"Python, PostgreSQL, Node.js",5,Backend Developer
MCA,Computer Science,9.39,82.5,65.7,"CI/CD, Terraform, Docker, Linux, Jenkins, Kubernetes, AWS",15,DevOps Engineer
B.Com,Finance,6.16,72.0,62.5,"Data Analysis, Financial Modeling, Valuation, Bloomberg, Accounting, Excel",7,Financial Analyst
B.Tech,Information Technology,8.53,96.2,85.5,"HTML, JavaScript, Tailwind, React, TypeScript, CSS, Vue, Angular",10,Frontend Developer
BBA,Communications,7.95,89.5,62.8,"Copywriting, SEO, Content Strategy",6,Marketing Specialist
BCA,Computer Science,8.56,85.3,83.0,"GraphQL, SQL, Java, Django, FastAPI, Docker",12,Backend Developer
B.Tech,Information Technology,7.05,68.7,64.5,"Vue, CSS, TypeScript",5,Frontend Developer
M.Com,Finance,6.25,89.2,82.6,"Excel, Accounting, Bloomberg, Valuation",2,Financial Analyst
B.Tech,Mechanical Engineering,8.75,65.7,79.2,"CAD/CAM, Manufacturing, Ansys, SolidWorks",7,Mechanical Engineer
B.Com,Business,7.02,83.2,89.9,"Market Research, Excel, Report Writing, SPSS, Research, Data Analysis",3,Research Analyst
B.Sc,Information Technology,8.15,73.2,71.6,"Wireframing, Design Systems, Adobe XD, UI/UX, Prototyping, User Testing, Figma",5,UX Designer
B.Tech,Construction Management,7.7,84.0,77.4,"Primavera P6, Project Management, MS Project, Contract Management, Cost Estimation",5,Construction Manager
BBA,Economics,9.41,86.2,77.2,"Financial Modeling, Accounting, Bloomberg",2,Financial Analyst
BBA,Communications,6.52,68.7,92.9,"Content Strategy, Digital Marketing, SEO, Google Analytics, Copywriting, Social Media",7,Marketing Specialist
M.Sc,Computer Science,7.86,63.1,61.2,"NLP, Statistics, Deep Learning, NumPy, SQL, Scikit-Learn, TensorFlow",4,Data Scientist
M.Sc,Computer Science,6.01,95.2,80.5,"Machine Learning, Deep Learning, SQL, Pandas, Python, Scikit-Learn, TensorFlow",12,Data Scientist
B.Tech,Mechanical,9.73,90.2,93.9,"Thermodynamics, Ansys, CAD/CAM, AutoCAD, SolidWorks",7,Mechanical Engineer
B.Tech,Information Technology,6.63,71.4,82.7,"MongoDB, Django, GraphQL, Python, Node.js, FastAPI",11,Backend Developer
B.Sc,Computer Science,6.44,71.0,67.4,"Angular, HTML, Vue",9,Frontend Developer
MBA,Civil Engineering,6.39,75.2,82.5,"MS Project, Project Management, Primavera P6",11,Construction Manager
BCA,Computer Science,9.23,89.6,65.3,"Angular, Next.js, TypeScript",7,Frontend Developer
BCA,Maths,8.6,62.5,89.6,"Python, Excel, Power BI, Data Visualization, SQL",8,Data Analyst
B.Sc,Economics,9.08,94.0,79.6,"SAS, Economic Research, Stata, Econometrics, R, Statistics, Data Analysis",7,Economist
B.Com,Computer Science,6.76,94.1,69.7,"Python, Statistics, Data Visualization, SQL, Tableau, Excel, Power BI",10,Data Analyst
BA,Physics,7.43,82.3,75.3,"Mentoring, Communication, Public Speaking, Curriculum Development, Lesson Planning",4,Teaching Professional
B.Com,Communications,9.64,86.7,94.8,"Content Strategy, Copywriting, Digital Marketing, Google Analytics, SEO, Social Media",7,Marketing Specialist
B.Tech,Civil,6.93,60.2,84.4,"Surveying, Health & Safety, Quality Control, Site Management, AutoCAD",9,Site Engineer
B.Sc,Computer Science,8.13,87.2,96.0,"CSS, TypeScript, JavaScript, Vue, Next.js, Angular, HTML",12,Frontend Developer
MCA,Computer Science,6.2,92.3,75.3,"Terraform, AWS, Linux",13,DevOps Engineer
BBA,Communications,8.78,97.4,86.9,"SEO, Content Strategy, Digital Marketing, Google Analytics, Social Media",3,Marketing Specialist
M.Tech,Civil Engineering,8.14,74.4,66.2,"Structural Analysis, STAAD Pro, ETABS, AutoCAD, Steel Design",6,Structural Engineer
